t,v_closed,a_cmd_closed,throttle_closed,brake_closed,v_open
9.25,8.99091028624,0.00999868514115,0.631868900142,0,7.9100071533
9.3,8.99122132783,0.00965653938675,0.631841429659,0,7.9100071533
9.35,8.99152055862,0.0093273855157,0.631815182167,0,7.9100071533
9.4,8.99180848528,0.00901066619019,0.631790097119,0,7.9100071533
9.45,8.99208559013,0.00870585085762,0.631766117198,0,7.9100071533
9.5,8.99235233241,0.0084124343489,0.631743188139,0,7.9100071533
9.55,8.9926091495,0.00812993555421,0.631721258559,0,7.9100071533
9.6,8.99285645803,0.00785789617182,0.631700279793,0,7.9100071533
9.65,8.99309465498,0.00759587952563,0.631680205745,0,7.9100071533
9.7,8.99332411868,0.00734346944778,0.631660992747,0,7.9100071533
9.75,8.9935452098,0.00710026922237,0.631642599422,0,7.9100071533
9.8,8.99375827219,0.00686590058711,0.631624986557,0,7.9100071533
9.85,8.99396363383,0.00664000278933,0.631608116986,0,7.9100071533
9.9,8.99416160755,0.00642223169353,0.631591955476,0,7.9100071533
9.95,8.99435249188,0.00621225893732,0.631576468618,0,7.9100071533
10,8.9945365717,0.00600977113328,0.631561624732,0,7.9100071533
10.05,8.99471411899,0.0058144691139,0.631547393768,0,7.9100071533
10.1,8.99488539344,0.00562606721734,0.631533747219,0,7.9100071533
10.15,8.99505064308,0.00544429261164,0.631520658034,0,7.9100071533
10.2,8.99521010486,0.00526888465523,0.631508100545,0,7.9100071533
10.25,8.99536400519,0.0050995942918,0.631496050382,0,7.9100071533
10.3,8.99551256048,0.00493618347736,0.631484484413,0,7.9100071533
10.35,8.9956559776,0.00477842463803,0.63147338067,0,7.9100071533
10.4,8.9957944544,0.00462610015657,0.631462718288,0,7.9100071533
10.45,8.9959281801,0.00447900188611,0.631452477447,0,7.9100071533
10.5,8.99605733574,0.00433693068971,0.631442639315,0,7.9100071533
10.55,8.99618209454,0.00419969600412,0.631433185993,0,7.9100071533
10.6,8.99630262234,0.00406711542649,0.631424100468,0,7.9100071533
10.65,8.99641907789,0.00393901432279,0.631415366566,0,7.9100071533
10.7,8.99653161322,0.00381522545667,0.631406968904,0,7.9100071533
10.75,8.99664037397,0.00369558863766,0.631398892851,0,7.9100071533
10.8,8.99674549965,0.00357995038768,0.631391124489,0,7.9100071533
10.85,8.99684712398,0.00346816362477,0.63138365057,0,7.9100071533
10.9,8.99694537512,0.00336008736317,0.631376458488,0,7.9100071533
10.95,8.99704037597,0.00325558642887,0.631369536241,0,7.9100071533
11,8.99713224437,0.00315453118966,0.631362872398,0,7.9100071533
11.05,8.99722109336,0.00305679729902,0.631356456076,0,7.9100071533
11.1,8.99730703141,0.00296226545308,0.631350276902,0,7.9100071533
11.15,8.99739016258,0.00287082115985,0.631344324996,0,7.9100071533
11.2,8.9974705868,0.00278235452012,0.631338590939,0,7.9100071533
11.25,8.99754839998,0.00269676001946,0.631333065752,0,7.9100071533
11.3,8.99762369424,0.00261393633057,0.631327740873,0,7.9100071533
11.35,8.99769655807,0.00253378612556,0.631322608134,0,7.9100071533
11.4,8.99776707646,0.00245621589754,0.631317659746,0,7.9100071533
11.45,8.9978353311,0.00238113579111,0.631312888274,0,7.9100071533
11.5,8.99790140051,0.00230845944114,0.631308286622,0,7.9100071533
11.55,8.99796536016,0.00223810381956,0.631303848015,0,7.9100071533
11.6,8.99802728265,0.00216998908959,0.631299565983,0,7.9100071533
11.65,8.99808723776,0.0021040384671,0.631295434348,0,7.9100071533
11.7,8.99814529265,0.00204017808876,0.631291447206,0,7.9100071533
11.75,8.99820151192,0.00197833688643,0.631287598914,0,7.9100071533
11.8,8.99825595776,0.00191844646773,0.631283884081,0,7.9100071533
11.85,8.99830869,0.00186044100227,0.63128029755,0,7.9100071533
11.9,8.99835976626,0.0018042571133,0.63127683439,0,7.9100071533
11.95,8.99840924202,0.00174983377453,0.631273489884,0,7.9100071533
12,8.99845717072,0.00169711221182,0.631270259521,0,7.9100071533
12.05,8.99850360381,0.0016460358095,0.631267138979,0,7.9100071533
12.1,8.99854859089,0.00159655002104,0.631264124126,0,7.9100071533
12.15,8.99859217974,0.00154860228393,0.631261211003,0,7.9100071533
12.2,8.99863441642,0.00150214193848,0.631258395818,0,7.9100071533
12.25,8.99867534532,0.00145712015037,0.631255674939,0,7.9100071533
